wall_t,ref,other,dx,dy,dz,range_m,dyaw_deg
28.700,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
28.800,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
28.900,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.000,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.100,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.200,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.300,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.400,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.500,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.600,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.700,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.800,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
29.900,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.000,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.100,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.200,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.300,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.400,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.500,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.600,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.700,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.800,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
30.900,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
31.000,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
31.100,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
31.200,robot1,robot2,-14.6449,-2.7884,-0.5271,14.9174,119.73
31.300,robot1,robot2,-14.6449,-2.7884,-0.5271,14.9174,119.73
31.400,robot1,robot2,-14.6449,-2.7884,-0.5271,14.9174,119.73
31.500,robot1,robot2,-14.6449,-2.7884,-0.5271,14.9174,119.73
31.600,robot1,robot2,-14.6449,-2.7884,-0.5271,14.9174,119.73
31.700,robot1,robot2,-14.6449,-2.7884,-0.5271,14.9174,119.73
31.800,robot1,robot2,-14.1076,-4.1530,-0.0935,14.7064,125.15
31.900,robot1,robot2,-14.1076,-4.1530,-0.0935,14.7064,125.15
